ID	SIRE_ped_S1	DAM_ped_S1	SIRE_ped_EBPB	DAM_ped_EBPB	Mismatch_Type
56	50	51	50	52	DAM
73	68	71	0	71	SIRE
128	123	125	126	125	SIRE
514	0	0	237	145	BOTH
605	230	225	230	255	DAM
616	506	571	506	471	DAM
668	506	571	506	471	DAM
689	230	241	230	157	DAM
693	506	571	506	471	DAM
708	488	260	0	260	SIRE
710	506	571	506	471	DAM
712	506	475	506	474	DAM
718	546	268	546	548	DAM
725	542	501	229	501	SIRE
730	506	571	506	471	DAM
761	542	673	542	0	DAM
776	652	650	652	660	DAM
781	506	571	506	471	DAM
807	652	650	652	0	DAM
809	782	664	693.1	664	SIRE
840	652	650	652	660	DAM
848	506	571	506	471	DAM
869	761	724	762	724	SIRE
887	782	664	693.1	664	SIRE
888	506	571	506	471	DAM
889	693	783	693	693.2	DAM
912	575	631	576	631	SIRE
913	680	774	680	775	DAM
924	506	271	506	471	DAM
925	506	783	506	693.2	DAM
949	628	774	698	775	BOTH
950	872	837	772	837	SIRE
959	687	271	687	471	DAM
961	687	692	684	692	SIRE
998	687	783	687	693	DAM
1058	687	783	687	693	DAM
1059	784	664	811	664	SIRE
1072	738	524	0	0	BOTH
1074	738	737	0	0	BOTH
1075	761	596	0	0	BOTH
1076	815	723	0	0	BOTH
1078	738	812	0	0	BOTH
1079	901	911	0	0	BOTH
1080	815	748	0	0	BOTH
1082	902	736	0	0	BOTH
1083	761	791	0	0	BOTH
1106	687	850	687	843	DAM
1111	923	925	926	925	SIRE
1118	637	753	637	735	DAM
1169	675	871	676	871	SIRE
1177	960	850	960	843	DAM
1180	960	783	960	693.2	DAM
1238	698	875	698	975	DAM
1255	960	783	960	693.2	DAM
1344	769	1008	769	1003	DAM
1348	824	1024	821	1024	SIRE
1363	825	927	825	937	DAM
1399	860	837	860	1044	DAM
1411	960	783	960	693	DAM
1485	1074	987	0	987	SIRE
1489	872	952	972	952	SIRE
1495	894	1094	984	1094	SIRE
1521	960	783	960	693	DAM
1607	1043	1234	0	0	BOTH
1614	1241	1236	0	0	BOTH
1635	1394	1317	1394	1322	DAM
1642	960	783	960	693.2	DAM
1668	1080	819	0	819	SIRE
1669	821	1024	821	1027	DAM
1672	1010	1011	1010	1111	DAM
1687	792	1206	1150	760	BOTH
1688	1150	760	879	1205	BOTH
1693	1128	725	1128	729	DAM
1722	0	1156	0	1157	DAM
1756	872	1317	872	1322	DAM
1760	872	696	872	676	DAM
1784	769	1008	1690	1008	SIRE
1788	1264	292	1264	929	DAM
1796	1121	996	1121	966	DAM
1826	1218	1083	1218	0	DAM
1844	960	783	960	693.2	DAM
1859	1301	1073	1301	0	DAM
1892	901	1542	901	660	DAM
1954	1075	1556	0	1556	SIRE
1985	980	1206	0	1206	SIRE
2029	1241	1242	913	1242	SIRE
2030	1043	1306	1092	1306	SIRE
2031	1043	1310	913	1310	SIRE
2032	1241	1309	972	1309	SIRE
2033	913	1089	1092	1089	SIRE
2036	872	1317	972	1317	SIRE
2072	1218	1083	1218	0	DAM
2139	1429	1340	1429	1338	DAM
2141	1264	1005	1164	1005	SIRE
2214	1776	1562	1176	1562	SIRE
2249	1608	1863	980	1863	SIRE
2263	1209	1021	1209	1020	DAM
2291	1043	1310	1043	1306	DAM
2309	1434	1291	1434	1231	DAM
2345	1872	1879	1872	1876	DAM
2413	1661	1188	1661	118	DAM
2429	0	1485	0	1503	DAM
2434	1241	1309	1043	1309	SIRE
2435	1499	1607	1043	1607	SIRE
2436	1043	1306	1499	1306	SIRE
2443	1912	1316	1499	1316	SIRE
2472	1346	1579	1346	1779	DAM
2499	2120	1674	2120	0	DAM
